Description,polarity,Sentiment
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment project also pay monthly maintenance area square bathroom property walk distance fortis,0.4666666666666666,Positive
look good villa property one popular brokerage property maintenance property modern unit area square carpet area villa square bathroom close best poly clinic diagnostic laboratory primary health establish memorial omega international school academy nursery primary scho,0.4714285714285714,Positive
apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price area square strategic location many repute nearby like spectra,0.41999999999999993,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square bathroom number repute vicinity vidya bain matriculation higher secondary school,0.1375,Positive
look good apartment property one popular brokerage property property floor total number maintenance property apartment available modern unit area square bathroom lift available apartment regular water supply provide close best southern railway headquarter hospital hospital sen,0.36666666666666664,Positive
property sale villa promise location property post owner brokerage involve price also need pay towards maintenance area square property bathroom villa strategically within close distance famous medical college hospital hospital rotary medical hospital like higher secondary school,0.09,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment best property spacious area square bathroom,0.525,Positive
look apartment sale search buy property location west owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square bathroom number repute vicinity international institute hotel management bhava,0.20000000000000004,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance carpet area unit square area square bathroom ideal location young property close lady matricula,0.48333333333333334,Positive
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment project also pay monthly maintenance good spacious apartment unit carpet area square area square,0.5249999999999999,Positive
check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale floor total number project price property abide square area unit bathroom educational,0.4166666666666667,Positive
apartment sale anna west post owner brokerage involve beautifully design unit one anna desire contact information unit floor property price apartment unit area square residential property near matriculation higher secondary school matriculation higher secondary school school junior college,0.14166666666666664,Positive
look apartment sale search buy property location anna west owner list property brokerage involve floor apartment available reasonable price build area property square number repute vicinity matriculation higher secondary school matriculation higher secondary school school junior college medical facility also close hand,0.07142857142857142,Positive
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment project also pay monthly maintenance good spacious apartment unit carpet area square area square,0.5249999999999999,Positive
ready move flat ready prime location business hub free registration car spacious hall grand german type natural light air bed attach grand granite kitchen counter din hall balcony road face hand video door main entrance door cover car park road easy access lift access private terrace call site visit property best apartment,0.2980769230769231,Positive
one property available sale apartment post directly owner make floor build price apartment move property include maintenance apartment spacious area square separate servant room available apartment property good view bathroom lift facility also available gate community proper,0.3333333333333333,Positive
unit quiet area surround posh proper approval single owner brand electrical plumb use central location previously rent road face balcony property check independent house sale property post owner thus need pay broker amount independent house perfect promise location one,0.09523809523809523,Positive
independent house sale owner list property thus brokerage involve independent house promise investment destination might chance grab best property sale independent house available reasonable price spacious property spread square area square property provision bathroom strategic location many repute,0.29999999999999993,Positive
one property available sale apartment post directly owner make floor build price apartment move property include maintenance apartment spacious area square carpet area square bathroom property quick distance away best international institute hotel,0.36666666666666664,Positive
independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house best property spacious area square repute speciality like speciality,0.42000000000000004,Positive
one property available sale apartment post directly owner make floor build price apartment move property include maintenance apartment spacious area square carpet area square bathroom property quick distance away best vidya bain matriculation,0.4583333333333333,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity,0.30000000000000004,Positive
independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house monthly maintenance come best property spacious area square carpet area square bathroom,0.42000000000000004,Positive
property sale cit apartment promise location property post owner brokerage involve floor total number build price area square property bathroom apartment strategically within close distance famous fertility hospital speciality veterinary hospital like inter,0.25,Positive
look apartment sale search buy property location raja owner list property brokerage involve floor maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity school academy,0.0,Positive
apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price also need pay maintenance spacious property spread square area square,0.39999999999999997,Positive
main accessible area far away road bus stop rail construction also go area best investment also property independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house area square,0.3802083333333333,Positive
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment area square bathroom property build lift gate community thoroughly secure premise,0.44999999999999996,Positive
villa sale unit available premium best price property post owner brokerage involve contact desire purchase price villa area square property walk distance memorial hospital hospital cure hospital best public school matriculation higher secondary school infant,0.39166666666666666,Positive
one property available sale apartment post directly owner make floor build price apartment move property include maintenance apartment spacious area square carpet area square bathroom property quick distance away best higher secondary school pink,0.24047619047619043,Positive
property colony near medical hospital flat study room well famous block park right opposite property like lawn tennis badminton nearest station minute walk property property property sale anna apartment promise location property post owner brokerage involve floor total number build,0.12295918367346938,Positive
property colony near medical hospital flat study room well famous block park right opposite property like lawn tennis badminton nearest station minute walk property property apartment sale anna unit available anna premium best price property post owner brokerage involve contact desire purchase,0.2825892857142857,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance area square bathroom ideal location young property close matriculation higher secondary school lady matriculation scho,0.35625,Positive
premium apartment marble floor teakwood false roof modular kitchen well great close grocery throw club cricket grind gym scenic view face river property apartment sale post owner brokerage involve beautifully design unit one desire contact information,0.4166666666666667,Positive
look apartment sale search buy property location owner list property brokerage involve floor maintenance property build area property square bathroom number repute vicinity higher secondary school senior secondary junior college bumble be play school medical facility also close,-0.0875,Negative
fully furnish modular kitchen granite floor lift two cover car quarter toilet property apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price,0.31333333333333335,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square bathroom number repute vicinity matriculation higher secondary school matriculation higher secondary,0.08333333333333333,Positive
best independent house available sale brokerage involve post owner grab property sale one top location property price unit area square ideal location young property close olive public school matriculation school higher secondary school facility also close hand hospital hospital hospital dental,0.31666666666666665,Positive
almost independent common wall puja room additional property one property available sale apartment post directly owner make floor build price apartment move property include maintenance apartment spacious area square property good view bathroom property quick dis,0.20555555555555557,Positive
one property available sale apartment post directly owner make floor build price apartment apartment spacious area square property quick distance away best school first school sri matriculation school also close good repute like memorial hospital hospital health,0.46388888888888885,Positive
check independent house sale anna west extension property post owner thus need pay broker amount independent house perfect anna west extension promise location one area buy independent house sale price property abide square area square property unit,0.25,Positive
check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale floor total number project property pay towards maintenance property abide square area square,0.5,Positive
look good apartment property one popular brokerage property property floor total number maintenance property apartment available modern unit area square carpet area apartment square property good view bathroom close best government primary health,0.49999999999999994,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance area square property bathroom apartment strategically within close distance famous fortis malar hospital fertility,0.25,Positive
best villa available sale brokerage involve post owner grab property sale one top location property price unit area square ideal location young property close senior secondary school school corporation higher secondary school facility also close hand fertility hospital clinical research,0.31875000000000003,Positive
look good villa property one popular brokerage property villa available modern unit area square close best fertility hospital clinical research foundation hospital establish senior secondary school school corporation higher secondary school also,0.31875,Positive
villa sale unit available premium best price property post owner brokerage involve contact desire purchase price villa area square property walk distance government hospital frontier lifeline hospital hospital best school junior college matriculation higher secondary school,0.47000000000000003,Positive
apartment sale property investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment monthly maintenance come best property spacious area square,0.525,Positive
property sale west apartment promise location property post owner brokerage involve floor total number build price area square property bathroom apartment strategically within close distance famous fertility hospital fortis malar hospital veterinary hospital like,0.25,Positive
